Date,portfolio,new_picks,relegated,monthly_performance
2012-03-01,"['JPM', 'AAPL', 'AXP', 'GS', 'PFE', 'IBM', 'CSCO', 'KO', 'HD', 'UNH']","['JPM', 'AAPL', 'AXP', 'GS', 'PFE', 'IBM', 'CSCO', 'KO', 'HD', 'UNH']",0,0.0
2012-04-01,"['AAPL', 'AXP', 'PFE', 'IBM', 'KO', 'HD', 'UNH', 'TRV', 'VZ', 'WBA']","['TRV', 'VZ', 'WBA']","['GS', 'JPM', 'CSCO']",-0.01380534489063091
2012-05-01,"['AAPL', 'PFE', 'KO', 'HD', 'UNH', 'TRV', 'VZ', 'WMT', 'DIS', 'VZ']","['WMT', 'DIS', 'VZ']","['WBA', 'AXP', 'IBM']",-0.03817336547734011
2012-06-01,"['PFE', 'HD', 'UNH', 'VZ', 'WMT', 'DIS', 'VZ', 'MRK', 'XOM', 'JNJ']","['MRK', 'XOM', 'JNJ']","['AAPL', 'TRV', 'KO']",0.053207470980060935
2012-07-01,"['PFE', 'VZ', 'WMT', 'VZ', 'MRK', 'XOM', 'JNJ', 'WBA', 'MRK', 'WMT']","['WBA', 'MRK', 'WMT']","['UNH', 'HD', 'DIS']",0.012780483740918424
2012-08-01,"['PFE', 'WMT', 'MRK', 'XOM', 'WBA', 'MRK', 'WMT', 'CSCO', 'AAPL', 'HD']","['CSCO', 'AAPL', 'HD']","['VZ', 'VZ', 'JNJ']",-0.022059940451329096
2012-09-01,"['PFE', 'MRK', 'XOM', 'WBA', 'MRK', 'HD', 'JPM', 'GS', 'HD', 'IBM']","['JPM', 'GS', 'HD', 'IBM']","['CSCO', 'AAPL', 'WMT']",0.03490817606324652
2012-10-01,"['PFE', 'MRK', 'MRK', 'HD', 'JPM', 'GS', 'HD', 'GS', 'TRV', 'V']","['GS', 'TRV', 'V']","['IBM', 'WBA', 'XOM']",0.008475176413114826
2012-11-01,"['PFE', 'HD', 'JPM', 'HD', 'TRV', 'V', 'CSCO', 'V', 'NKE', 'HD']","['CSCO', 'V', 'NKE', 'HD']","['GS', 'GS', 'MRK']",0.006290665500346982
2012-12-01,"['PFE', 'JPM', 'TRV', 'V', 'CSCO', 'V', 'NKE', 'WBA', 'GS', 'JPM']","['WBA', 'GS', 'JPM']","['HD', 'HD', 'HD']",0.009544889608739759
2013-01-01,"['PFE', 'JPM', 'TRV', 'NKE', 'WBA', 'GS', 'JPM', 'GS', 'PG', 'CAT']","['GS', 'PG', 'CAT']","['V', 'V', 'CSCO']",0.07482927570906814
2013-02-01,"['JPM', 'TRV', 'WBA', 'GS', 'JPM', 'GS', 'PG', 'VZ', 'AXP', 'JPM']","['VZ', 'AXP', 'JPM']","['CAT', 'NKE', 'PFE']",0.014923750787444168
2013-03-01,"['TRV', 'WBA', 'GS', 'GS', 'PG', 'VZ', 'AXP', 'WBA', 'BA', 'NKE']","['WBA', 'BA', 'NKE']","['JPM', 'JPM', 'JPM']",0.02547802715557873
2013-04-01,"['TRV', 'WBA', 'VZ', 'AXP', 'WBA', 'BA', 'NKE', 'MSFT', 'DIS', 'VZ']","['MSFT', 'DIS', 'VZ']","['GS', 'GS', 'PG']",0.033205015709654964
2013-05-01,"['TRV', 'AXP', 'BA', 'NKE', 'MSFT', 'DIS', 'CSCO', 'JPM', 'AXP', 'GS']","['CSCO', 'JPM', 'AXP', 'GS']","['VZ', 'VZ', 'WBA']",-0.0052101707380780345
2013-06-01,"['AXP', 'BA', 'NKE', 'MSFT', 'DIS', 'CSCO', 'AXP', 'UNH', 'BA', 'VZ']","['UNH', 'BA', 'VZ']","['GS', 'TRV', 'JPM']",-0.00843951148751162
2013-07-01,"['BA', 'NKE', 'DIS', 'CSCO', 'UNH', 'BA', 'AAPL', 'WBA', 'UNH', 'JNJ']","['AAPL', 'WBA', 'UNH', 'JNJ']","['MSFT', 'VZ', 'AXP']",0.011082274170932516
2013-08-01,"['BA', 'NKE', 'UNH', 'BA', 'AAPL', 'WBA', 'UNH', 'AAPL', 'MSFT', 'CAT']","['AAPL', 'MSFT', 'CAT']","['CSCO', 'JNJ', 'DIS']",-0.023884873063085864
2013-09-01,"['BA', 'NKE', 'BA', 'WBA', 'MSFT', 'CAT', 'NKE', 'BA', 'WBA', 'V']","['NKE', 'BA', 'WBA', 'V']","['AAPL', 'AAPL', 'UNH']",0.053836855802256146
2013-10-01,"['BA', 'BA', 'WBA', 'MSFT', 'BA', 'WBA', 'BA', 'WBA', 'AAPL', 'AXP']","['BA', 'WBA', 'AAPL', 'AXP']","['CAT', 'V', 'NKE']",0.0712718312398106
2013-11-01,"['BA', 'BA', 'MSFT', 'BA', 'BA', 'AAPL', 'AXP', 'JPM', 'MRK', 'UNH']","['JPM', 'MRK', 'UNH']","['WBA', 'WBA', 'WBA']",0.03056600635460325
2013-12-01,"['BA', 'BA', 'BA', 'BA', 'AAPL', 'AXP', 'JPM', 'INTC', 'V', 'XOM']","['INTC', 'V', 'XOM']","['MSFT', 'MRK', 'UNH']",0.017981664565479682
2014-01-01,"['AXP', 'JPM', 'INTC', 'V', 'MRK', 'CAT', 'MSFT', 'WBA', 'PFE', 'VZ']","['MRK', 'CAT', 'MSFT', 'WBA', 'PFE', 'VZ']","['AAPL', 'XOM', 'BA']",-0.07296765528247565
2014-02-01,"['AXP', 'JPM', 'V', 'MRK', 'CAT', 'WBA', 'PFE', 'WBA', 'DIS', 'AXP']","['WBA', 'DIS', 'AXP']","['VZ', 'INTC', 'MSFT']",0.05375682075931176
2014-03-01,"['AXP', 'JPM', 'MRK', 'CAT', 'PFE', 'DIS', 'AXP', 'MSFT', 'JNJ', 'JPM']","['MSFT', 'JNJ', 'JPM']","['V', 'WBA', 'WBA']",-0.002854237540459803
2014-04-01,"['MRK', 'CAT', 'PFE', 'DIS', 'MSFT', 'JNJ', 'AAPL', 'TRV', 'KO', 'CAT']","['AAPL', 'TRV', 'KO', 'CAT']","['JPM', 'JPM', 'AXP']",-0.013182703525750072
2014-05-01,"['MRK', 'DIS', 'MSFT', 'JNJ', 'AAPL', 'TRV', 'KO', 'VZ', 'CSCO', 'AAPL']","['VZ', 'CSCO', 'AAPL']","['PFE', 'CAT', 'CAT']",0.006781683906705827
2014-06-01,"['DIS', 'MSFT', 'JNJ', 'AAPL', 'KO', 'CSCO', 'AAPL', 'INTC', 'CVX', 'CAT']","['INTC', 'CVX', 'CAT']","['VZ', 'MRK', 'TRV']",0.018210927896922503
2014-07-01,"['DIS', 'MSFT', 'AAPL', 'CSCO', 'AAPL', 'INTC', 'CVX', 'INTC', 'IBM', 'MSFT']","['INTC', 'IBM', 'MSFT']","['CAT', 'KO', 'JNJ']",0.0014448563571588745
2014-08-01,"['DIS', 'MSFT', 'AAPL', 'AAPL', 'INTC', 'INTC', 'MSFT', 'HD', 'CAT', 'PG']","['HD', 'CAT', 'PG']","['CSCO', 'CVX', 'IBM']",0.03598635906851495
2014-09-01,"['DIS', 'MSFT', 'INTC', 'INTC', 'MSFT', 'PG', 'NKE', 'JNJ', 'GS', 'MSFT']","['NKE', 'JNJ', 'GS', 'MSFT']","['CAT', 'HD', 'AAPL']",-0.007589103688240906
2014-10-01,"['DIS', 'MSFT', 'MSFT', 'PG', 'NKE', 'GS', 'MSFT', 'V', 'UNH', 'MMM']","['V', 'UNH', 'MMM']","['INTC', 'INTC', 'JNJ']",0.01486046560731491
2014-11-01,"['PG', 'NKE', 'V', 'UNH', 'MMM', 'WMT', 'CSCO', 'AAPL', 'INTC', 'BA']","['WMT', 'CSCO', 'AAPL', 'INTC', 'BA']","['GS', 'DIS', 'MSFT']",0.03197603331925973
2014-12-01,"['PG', 'V', 'UNH', 'MMM', 'WMT', 'CSCO', 'INTC', 'WBA', 'HD', 'JPM']","['WBA', 'HD', 'JPM']","['AAPL', 'NKE', 'BA']",-0.007662121111057729
2015-01-01,"['V', 'UNH', 'MMM', 'WMT', 'CSCO', 'WBA', 'HD', 'BA', 'MRK', 'AAPL']","['BA', 'MRK', 'AAPL']","['JPM', 'INTC', 'PG']",-0.03700425409343198
2015-02-01,"['V', 'UNH', 'MMM', 'CSCO', 'WBA', 'HD', 'AAPL', 'DIS', 'JPM', 'CSCO']","['DIS', 'JPM', 'CSCO']","['MRK', 'WMT', 'BA']",0.061805079728432175
2015-03-01,"['UNH', 'MMM', 'WBA', 'HD', 'AAPL', 'DIS', 'JPM', 'UNH', 'NKE', 'WBA']","['UNH', 'NKE', 'WBA']","['CSCO', 'CSCO', 'V']",-0.016046400307767494
2015-04-01,"['MMM', 'WBA', 'AAPL', 'DIS', 'JPM', 'NKE', 'WBA', 'MSFT', 'CAT', 'IBM']","['MSFT', 'CAT', 'IBM']","['UNH', 'UNH', 'HD']",-0.018524146058714254
2015-05-01,"['MMM', 'WBA', 'AAPL', 'DIS', 'JPM', 'NKE', 'WBA', 'UNH', 'INTC', 'GS']","['UNH', 'INTC', 'GS']","['MSFT', 'CAT', 'IBM']",0.016293942089321722
2015-06-01,"['WBA', 'DIS', 'JPM', 'NKE', 'WBA', 'UNH', 'GS', 'NKE', 'DIS', 'JPM']","['NKE', 'DIS', 'JPM']","['INTC', 'AAPL', 'MMM']",-0.0032589336516328227
2015-07-01,"['WBA', 'DIS', 'NKE', 'WBA', 'NKE', 'DIS', 'WBA', 'V', 'TRV', 'PFE']","['WBA', 'V', 'TRV', 'PFE']","['GS', 'UNH', 'JPM']",0.05289232830304923
2015-08-01,"['WBA', 'NKE', 'WBA', 'NKE', 'WBA', 'V', 'TRV', 'AXP', 'HD', 'VZ']","['AXP', 'HD', 'VZ']","['DIS', 'DIS', 'PFE']",-0.08873263985267107
2015-09-01,"['NKE', 'NKE', 'V', 'TRV', 'AXP', 'HD', 'NKE', 'INTC', 'MCD', 'MSFT']","['NKE', 'INTC', 'MCD', 'MSFT']","['VZ', 'WBA', 'WBA']",-0.002550199264713193
2015-10-01,"['V', 'TRV', 'HD', 'INTC', 'MCD', 'MSFT', 'MSFT', 'CVX', 'TRV', 'MCD']","['MSFT', 'CVX', 'TRV', 'MCD']","['AXP', 'NKE', 'NKE']",0.09760772602107509
2015-11-01,"['V', 'HD', 'INTC', 'MCD', 'MSFT', 'MSFT', 'MCD', 'HD', 'JPM', 'MSFT']","['HD', 'JPM', 'MSFT']","['CVX', 'TRV', 'TRV']",0.026173569488760418
2015-12-01,"['INTC', 'MCD', 'MSFT', 'MSFT', 'MCD', 'JPM', 'MSFT', 'PG', 'UNH', 'MCD']","['PG', 'UNH', 'MCD']","['V', 'HD', 'HD']",0.01159317952811557
2016-01-01,"['MCD', 'MSFT', 'MSFT', 'MCD', 'MSFT', 'PG', 'MCD', 'WMT', 'VZ', 'MCD']","['WMT', 'VZ', 'MCD']","['INTC', 'JPM', 'UNH']",-0.006446864468735813
2016-02-01,"['MCD', 'MCD', 'PG', 'MCD', 'WMT', 'VZ', 'MCD', 'CSCO', 'CAT', 'IBM']","['CSCO', 'CAT', 'IBM']","['MSFT', 'MSFT', 'MSFT']",-0.04233962870999943
2016-03-01,"['MCD', 'MCD', 'MCD', 'MCD', 'CSCO', 'CAT', 'IBM', 'IBM', 'CVX', 'AAPL']","['IBM', 'CVX', 'AAPL']","['PG', 'WMT', 'VZ']",0.08315849852810615
2016-04-01,"['MCD', 'MCD', 'MCD', 'MCD', 'CSCO', 'CAT', 'CVX', 'PFE', 'CVX', 'JPM']","['PFE', 'CVX', 'JPM']","['AAPL', 'IBM', 'IBM']",-0.013484247451467868
2016-05-01,"['CSCO', 'CVX', 'PFE', 'CVX', 'JPM', 'CSCO', 'AAPL', 'MSFT', 'PFE', 'WMT']","['CSCO', 'AAPL', 'MSFT', 'PFE', 'WMT']","['CAT', 'MCD', 'MCD']",-0.005347554923630116
2016-06-01,"['CSCO', 'CVX', 'PFE', 'CVX', 'CSCO', 'PFE', 'WMT', 'VZ', 'JNJ', 'WBA']","['VZ', 'JNJ', 'WBA']","['JPM', 'AAPL', 'MSFT']",0.004720900558238883
2016-07-01,"['CSCO', 'PFE', 'CSCO', 'PFE', 'WMT', 'VZ', 'JNJ', 'MSFT', 'CAT', 'AAPL']","['MSFT', 'CAT', 'AAPL']","['WBA', 'CVX', 'CVX']",0.015459724888921566
2016-08-01,"['CSCO', 'CSCO', 'WMT', 'VZ', 'MSFT', 'CAT', 'AAPL', 'MRK', 'GS', 'JPM']","['MRK', 'GS', 'JPM']","['PFE', 'PFE', 'JNJ']",-0.011733558461755233
2016-09-01,"['CSCO', 'CSCO', 'WMT', 'MSFT', 'CAT', 'AAPL', 'MRK', 'CAT', 'AAPL', 'INTC']","['CAT', 'AAPL', 'INTC']","['GS', 'JPM', 'VZ']",0.01265922758424647
2016-10-01,"['CSCO', 'CSCO', 'WMT', 'MSFT', 'AAPL', 'MRK', 'AAPL', 'GS', 'BA', 'MSFT']","['GS', 'BA', 'MSFT']","['INTC', 'CAT', 'CAT']",-0.029389829456985837
2016-11-01,"['WMT', 'MSFT', 'MRK', 'GS', 'BA', 'MSFT', 'GS', 'JPM', 'CAT', 'UNH']","['GS', 'JPM', 'CAT', 'UNH']","['AAPL', 'AAPL', 'CSCO']",0.025346179120283096
2016-12-01,"['MSFT', 'GS', 'BA', 'MSFT', 'GS', 'JPM', 'UNH', 'GS', 'TRV', 'JPM']","['GS', 'TRV', 'JPM']","['MRK', 'CAT', 'WMT']",0.031411349999251124
2017-01-01,"['MSFT', 'BA', 'MSFT', 'JPM', 'UNH', 'TRV', 'JPM', 'DIS', 'MRK', 'V']","['DIS', 'MRK', 'V']","['GS', 'GS', 'GS']",-0.005436944673728383
2017-02-01,"['BA', 'JPM', 'UNH', 'TRV', 'JPM', 'MRK', 'V', 'AAPL', 'CSCO', 'BA']","['AAPL', 'CSCO', 'BA']","['MSFT', 'MSFT', 'DIS']",0.04144084545275809
2017-03-01,"['BA', 'UNH', 'TRV', 'V', 'AAPL', 'CSCO', 'BA', 'AAPL', 'MSFT', 'MMM']","['AAPL', 'MSFT', 'MMM']","['MRK', 'JPM', 'JPM']",-0.008481700826188154
2017-04-01,"['BA', 'UNH', 'TRV', 'V', 'BA', 'MSFT', 'MMM', 'CAT', 'MCD', 'UNH']","['CAT', 'MCD', 'UNH']","['AAPL', 'AAPL', 'CSCO']",0.02725276613091294
2017-05-01,"['TRV', 'V', 'MSFT', 'MMM', 'CAT', 'MCD', 'MCD', 'AAPL', 'KO', 'WMT']","['MCD', 'AAPL', 'KO', 'WMT']","['UNH', 'UNH', 'BA']",0.028607490399394742
2017-06-01,"['TRV', 'V', 'MSFT', 'MMM', 'CAT', 'MCD', 'MCD', 'NKE', 'JPM', 'AXP']","['NKE', 'JPM', 'AXP']","['AAPL', 'WMT', 'KO']",-0.003144230408507498
2017-07-01,"['TRV', 'V', 'MSFT', 'CAT', 'MCD', 'MCD', 'AXP', 'BA', 'VZ', 'V']","['BA', 'VZ', 'V']","['MMM', 'NKE', 'JPM']",0.02201835010841713
2017-08-01,"['V', 'MSFT', 'CAT', 'MCD', 'MCD', 'AXP', 'V', 'AAPL', 'V', 'CAT']","['AAPL', 'V', 'CAT']","['TRV', 'BA', 'VZ']",0.016143877598544843
2017-09-01,"['V', 'MSFT', 'CAT', 'AXP', 'V', 'V', 'CAT', 'CVX', 'HD', 'INTC']","['CVX', 'HD', 'INTC']","['AAPL', 'MCD', 'MCD']",0.014379814506828282
